,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2002-01-31,-0.037369,,0.092912,-0.066121,0.128767,0.001271,-0.025501,-0.064836,0.093319,-0.057845,-0.07211,-0.006361,-0.073104,0.114149,-0.108052,-0.026904,-0.03834,0.045671,0.037028,0.042224,0.011488
2002-02-28,0.010414,,0.050888,-0.001861,-0.122168,0.024116,-0.011797,0.01599,-0.279293,-0.045359,0.0832,0.063508,0.041184,-0.184646,-0.089258,0.062076,-0.084288,-0.013919,0.038075,0.033845,0.012538
2002-03-28,-0.010571,,0.011204,-0.02474,0.090783,0.063643,-0.02456,0.069043,0.186405,0.094365,0.106985,0.061259,-0.027273,0.065149,0.059927,0.066502,0.033768,-0.029785,0.062507,-0.01024,-0.040447
2002-04-30,-0.163194,,0.033416,-0.041863,0.025349,0.065569,0.0300339999999999,-0.039437,-0.134672,-0.125606,0.062189,-0.083505,-0.157543,-0.059191,-0.194615,-0.016782,-0.133477,-0.085305,0.006105,-0.088744,0.040135
2002-05-31,0.103992,,0.05181,-0.031105,-0.039967,0.045944,0.0158435,0.014301,0.077133,0.001386,0.000901,-0.000249,-0.012995,-0.033904,-0.037727,-0.036095,-0.025832,-0.044567,-0.007866,-0.031507,0.001533
2002-06-28,-0.110528,,-0.2269,0.019442,-0.239485,-0.063976,-0.100418,0.014327,-0.11597,-0.102594,0.011519,0.024793,-0.061336,-0.338523,-0.105034,-0.148166,0.074445,0.011561,0.00543,0.018207,0.018251
2002-07-31,-0.084262,,0.054258,-0.063169,-0.138826,-0.054861,0.0230895,-0.152542,-0.05448,-0.134452,-0.108214,-0.101662,0.108434,0.028462,-0.022222,0.01416,-0.122852,-0.075714,0.00112,-0.105981,0.030021
2002-08-30,-0.105568,,0.085776,-0.017522,-0.033421,0.053835,0.067857,0.031067,0.047763,0.046462,0.021225,-0.02938,-0.063665,-0.111762,0.072869,0.028585,0.022926,0.026584,-0.003821,0.087434,0.045547
2002-09-30,-0.187551,,-0.2112,-0.128232,-0.016949,-0.08105,0.0112874999999999,-0.096307,-0.241679,-0.094656,-0.055686,-0.100141,-0.176451,-0.166767,-0.226453,-0.004235,-0.108802,-0.122733,0.008235,-0.07788,0.041489
2002-10-31,0.29005,,0.050258,0.14351,0.108276,0.094044,0.000948,-0.023394,0.066794,0.252277,-0.030859,0.055172,0.024341,0.2455,0.353799,0.086354,0.222451,0.094762,-0.005818,0.08753,-0.028103
2002-11-29,0.110678,,-0.074356,0.041567,-0.03547,0.004011,-0.022697,0.001479,0.334526,0.052233,-0.013769,0.040701,0.074059,0.208092,0.10299,-0.025957,0.078736,-0.003462,-0.044319,0.006536,-0.011966
2002-12-31,-0.048772,,0.091463,-0.111328,-0.075484,0.001855,0.0056005,-0.008205,-0.121984,-0.094907,-0.039439,0.004023,-0.095133,-0.25431,-0.108375,-0.05805,-0.103675,-0.030447,0.016681,-0.061503,0.044021
2003-01-31,-0.088528,,-0.06563,-0.064477,0.002093,0.0069,-0.07646,-0.031288,0.020611,-0.017334,-0.077099,-0.02261,-0.049692,0.008349,0.009032,-0.001862,-0.082012,-0.001963,0.000465,-0.053653,-0.004343
2003-02-28,-0.148936,,0.020597,-0.089246,0.045265,-0.011563,-0.0793855,0.007298,0.045625,-0.03025,-0.005932,0.002928,0.047537,0.100637,-0.001279,-0.017814,0.002107,-0.017787,-0.043356,0.005439,0.030871
2003-03-31,-0.035577,,-0.208279,0.0042,-0.057961,-0.025419,0.0344514999999999,0.00748,-0.071531,0.033293,0.011934,0.027337,0.060291,-0.056779,0.006158,0.103336,0.021519,0.044936,0.087833,0.084478,-0.011278
2003-04-30,0.181082,,0.026702,0.171891,0.005658,0.10787,0.092764,-0.028461,0.155624,0.139332,-0.001976,0.007153,0.154902,0.128378,0.082494,-0.026093,0.055762,-0.013158,0.013588,0.082452,0.009585
2003-05-30,0.089897,,0.342653,-0.001208,0.262307,0.002026,0.0174915,0.140583,0.094,0.050191,0.12797,0.041193,-0.025467,0.134458,0.038869,-0.031405,-0.037167,0.013659,0.021925,-0.065874,0.057641
2003-06-30,0.003535,,0.115738,-0.045836,0.061838,0.07372,0.022358,0.017761,0.023157,0.043393,0.023261,-0.013462,0.005923,-0.00048,-0.062926,-0.048758,0.041853,0.100903,-0.028752,0.021859,-0.01402
2003-07-31,-0.070744,,-0.119498,0.163465,0.105981,0.044793,-0.008935,-0.001246,0.16081,0.054907,-0.031028,-0.00919,-0.008368,0.19606,-0.015152,0.001741,0.030031,-0.023133,-0.009587,0.041737,-0.093603
2003-08-29,-0.038527,,0.030243,-0.072118,0.072581,-0.040208,0.0525675,0.020663,-0.017958,-0.032366,-0.032244,0.06661,0.039733,0.149458,0.011323,-0.038038,0.004165,-0.098621,-0.006601,0.058308,0.009902
2003-09-30,-0.00935,,0.079088,-0.0303,-0.083591,-0.005173,-0.0118335,-0.019487,0.023511,0.049827,-0.007813,-0.029178,0.014542,-0.037426,0.077064,-0.00121,0.048265,0.015374,0.063352,-0.05611,0.058097
2003-10-31,0.094944,,0.061644,0.054246,0.10473,-0.0296,0.0380645,0.039888,0.068402,0.04922,0.080075,-0.000546,-0.026837,0.197311,0.013019,0.016357,-0.053957,0.040158,0.063833,0.057117,-0.029366
2003-11-28,-0.029191,,0.11828,-0.047345,-0.086501,-0.003961,0.078382,0.020592,0.084568,-0.007806,0.006897,-0.003554,-0.01172,0.018513,0.013634,-0.015696,-0.01645,0.067089,-0.020857,-0.056149,0.003887
2003-12-31,0.119845,,0.059615,0.144866,0.021999,0.076892,0.0054839999999999,0.150333,0.067401,0.032107,0.091398,0.132597,0.087548,-0.044425,0.023636,0.04787,0.064566,0.052428,0.037822,-0.044932,0.016052
2004-01-30,-0.009877,,0.021499,0.047827,0.055685,0.012806,0.060583,-0.000463,0.061081,0.027606,-0.029754,-0.005122,0.085539,-0.047738,0.070673,0.034069,0.01023,0.036796,0.01657,0.01508,0.015763
2004-02-27,-0.058431,,0.035258,0.065515,0.060284,0.005647,0.053487,0.031616,-0.099183,0.015764,0.014622,0.039961,-0.027059,-0.04194,-0.025899,0.013665,-0.040506,0.005187,0.014147,0.106035,0.023563
2004-03-31,0.022074,,-0.04205,-0.034932,0.130435,-0.001709,-0.0098585,-0.006452,0.017703,0.028651,0.011809,-0.013754,-0.061501,-0.068493,-0.04829,-0.059173,-0.060309,-0.043656,0.02312,0.004365,0.013929
2004-04-30,0.027404,,0.01708,0.004205,-0.046598,-0.006051,0.0017665,0.042379,-0.112855,-0.062089,0.005368,0.023082,-0.018676,-0.054044,-0.039961,0.06526,0.048135,0.020257,0.013063,-0.045066,-0.059584
2004-05-28,-0.048193,,-0.133803,0.023029,0.088441,0.032799,-0.0470685,-0.004044,0.069823,-0.034519,0.015424,0.022797,0.039065,0.111154,0.006805,0.036369,0.003827,-0.006991,0.019574,-0.02,-0.0041
2004-06-30,0.023207,,0.057536,-0.026671,0.159658,0.027547,-0.003141,0.04104,0.059455,0.001508,-0.012074,0.026821,0.047558,-0.033275,-0.004967,-0.000179,0.08883,-0.029994,0.009831,-0.053293,0.013616
2004-07-30,0.057835,,-0.048951,-0.008838,-0.006146,0.004609,-0.0198775,0.016364,-0.1173,-0.043226,-0.131141,0.042558,0.026235,-0.116667,-0.012252,-0.00772,-0.002451,-0.067678,-0.037472,0.004738,0.014664
2004-08-31,0.017759,,0.028361,0.008351,0.066481,0.058228,-0.0014325,0.027705,-0.10325,0.056475,0.01938,0.001512,-0.013835,-0.125102,-0.025267,0.05636,-0.038961,0.027534,0.07325,-0.003962,0.039549
2004-09-30,0.006204,0.265996,-0.024106,-0.044568,0.123514,-0.026678,-0.0059849999999999,0.100308,-0.035181,-0.052812,-0.098636,0.048373,0.030192,-0.057774,0.012398,-0.030465,0.012821,-0.063361,-0.033053,0.010063,0.008695
2004-10-29,-0.014547,0.470988,0.030187,-0.107075,0.352258,0.033695,-0.0255175,-0.010813,0.061326,0.014733,0.015231,0.018415,0.016081,0.109671,0.046769,0.036393,0.011573,-0.053922,-0.049704,0.013534,0.015813
2004-11-30,-0.003563,-0.045426,0.186339,0.043485,0.27958,0.033043,-0.0075435,0.036562,-0.023946,0.008564,-0.027054,0.046729,0.036342,0.007188,0.052033,0.038112,0.068645,-0.034888,0.044939,-0.034495,-0.022469
2004-12-31,0.023838,0.059402,0.075491,0.037806,-0.039523,0.025286,0.053147,-0.038278,0.0304,0.076648,0.059272,0.000195,0.038462,0.04513,0.046053,0.051393,-0.003357,-0.031689,0.029918,0.017096,0.024136
2005-01-31,-0.065483,0.014679,0.044681,0.009441,0.194099,-0.013194,0.0212725,0.035993,-0.066253,0.018057,-0.003602,0.006633,-0.010137,-0.040188,-0.052343,0.020183,-0.016467,-0.101525,-0.029049,-0.007951,0.028471
2005-02-28,0.012626,-0.039004,0.028513,0.007694,0.16671,0.006038,0.005157,0.148529,-0.034368,-0.018145,0.031574,0.232171,-0.019651,0.07216,-0.007065,0.018315,-0.039574,0.096027,-0.00263,-0.015076,-0.014668
2005-03-31,-0.015378,-0.039789,0.007159,-0.168638,-0.07111,-0.045016,-0.0441065,-0.060728,0.02698,-0.058257,-0.01986,-0.058601,0.024432,-0.03168,-0.012962,0.023781,-0.039348,-0.000761,-0.001695,-0.026158,-0.004377
2005-04-29,0.018257,0.218769,-0.006117,-0.082296,-0.134629,0.021315,-0.0253825,-0.108215,-0.034656,0.05474,0.042477,-0.043121,0.003882,0.012484,-0.16415,0.021888,0.046752,0.03426,0.026981,-0.05927,0.035333
2005-05-31,-0.017647,0.260318,0.033082,0.092429,0.102587,0.028419,0.0006604999999999,0.042885,0.123335,0.003194,0.027394,-0.009469,0.007735,0.14966,-0.008248,-0.017485,0.022925,0.033861,0.018467,0.005091,0.03217
2005-06-30,0.015826,0.060879,-0.026065,0.048155,-0.074179,-0.005613,-0.0082825,0.039792,-0.016495,-0.01868,-0.058257,0.022598,-0.044134,-0.034866,-0.017869,-0.031297,-0.037209,-0.01147,-0.043518,0.020538,0.017606
